SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0019288,Lens D,Nammuldi Lens D,Mine,Openpit,Operating,J03932,Brockman 2 - Nammuldi - Silvergrass - Homestead / Rio Tinto,117.354906999999997,-22.410416999999999,536527,7521701,50,Fe,Iron,IRON ORE,Nammuldi,N,,Y,,Operating Mine,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260112
S0019300,Delta Pits,Delta - Roy Hill,Mine,Openpit,Operating,J02889,Roy Hill Iron Ore,119.972082999999998,-22.470753999999999,805856,7512032,50,Fe,Iron,IRON ORE,Delta – Roy Hill,N,,Y,,Operating Mine,Public,2853,WARRIE,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20260112
S0019304,Tango Pits,Tango - Roy Hill,Mine,Openpit,Operating,J02889,Roy Hill Iron Ore,120.065633000000005,-22.572316000000001,198249,7500856,51,Fe,Iron,IRON ORE,Tango,N,,Y,,Operating Mine,Public,2952,ETHEL CREEK,SF51-09,BALFOUR DOWNS,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20260112
S0019514,Barton Main Westside,Barton Main - Westside,Mine,Decline,Operating,J01726,Jundee - Nimary,120.604112999999998,-26.372534999999999,260944,7080839,51,Au Ag,Precious metal,GOLD,Barton – Jundee,N,,Y,,Operating Mine,Public,3045,MILLROSE,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20260112
S0019520,Trig Hill Aggregate,Trig Hill - Pippingarra Rd,Mine,Openpit,Operating,J03364,Trig Hill - Pippingarra Rd / Spinifex,118.689575000000005,-20.585156000000001,676095,7722850,50,Agg Aggc Sd,Construction material,CONSTRUCTION MATERIALS,,N,,,,,Public,2656,WALLARINGA,SF50-04,PORT HEDLAND,"PORT HEDLAND, TOWN OF","PILBARA, Development Region",45,MARBLE BAR,Mallina Basin,20260112
S0019572,Tamarine Rd Limestone 2 (Central Pit),Tamarine Rd Limestone 2 / First Quantum,Mine,Openpit,Operating,J02145,Ravensthorpe - First Quantum,120.287919000000002,-33.804228999999999,248936,6256243,51,Lst Lsd,Industrial mineral,LIMESTONE - LIMESAND,Tamarine Road,Y,"Lst, Lsd",Y,,Operating Mine,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,"Northern Foreland, Albany-Fraser Orogen",20260112
S0019624,Plutonic East,Plutonic East,Mine,Decline,Operating,J00417,Plutonic Gold,119.483062000000004,-25.317651000000001,749966,7197561,50,Au Ag,Precious metal,GOLD,Plutonic,N,,Y,,Operating Mine,Public,2747,THREE RIVERS,SG50-08,PEAK HILL,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",52,PEAK HILL M.F.,Eastern Goldfields Superterrane,20260112
S0019642,Tarmoola N,Tarmoola North,Mine,Openpit,Operating,J00186,Tarmoola - King of the Hills,121.166076000000004,-28.663843000000000,320784,6827881,51,Au Ag,Precious metal,GOLD,Tarmoola North,N,,N,,Operating Mine,Public,3140,LEONORA,SH51-01,LEONORA,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",37,MT. MALCOLM,Eastern Goldfields Superterrane,20260112
S0019703,Big Blow,Big Blow / Focus,Mine,Openpit,Operating,J00014,Coolgardie Gold / Focus,121.172793999999996,-30.973281000000000,325501,6571927,51,Au Ag,Precious metal,GOLD,Big Blow / Focus,N,,N,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260112
S0019710,Raleigh-Golden Hind U/G,Raleigh Underground,Mine,Decline,Operating,J01718,Kundana East,121.243609000000006,-30.727556000000000,331837,6599274,51,Au Ag,Precious metal,GOLD,Raleigh,N,,Y,,Operating Mine,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20260112
