WELL_NAME,UWI,BASIN,LEASE_NO,LONG,LAT,OPERATOR,CLASS,STATUS,FIELD,SPUD_DATE,RIG_RELEASE_DATE,EXTRACT_DATE
Cape Range 1,W000021,Northern Carnarvon,LP-35H,114.012177,-22.065914,West Australian Petroleum Pty Limited,NFW,P&A,,19540902,19541227,20260417
Cape Range 2,W000022,Northern Carnarvon,LP-35H,113.99621,-22.09619,West Australian Petroleum Pty Limited,NFW,P&A,,19550420,19560402,20260417
Exmouth Structure Hole 2,W000026,Southern Carnarvon,LP-18H,114.139952,-22.35834,West Australian Petroleum Pty Limited,STR,P&A STR,,19561117,19561124,20260417
Giralia 1,W000027,Southern Carnarvon,LP-29H,114.169541,-22.99265,West Australian Petroleum Pty Limited,NFW,Water,,19550603,19550720,20260417
Grierson 3,W000030,Southern Carnarvon,LP-33H,113.76015,-24.20193,West Australian Petroleum Pty Limited,STR,P&A STR,,19550607,19550625,20260417
Rough Range 09,W000041,Northern Carnarvon,LP-18H,114.073117,-22.447619,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19551122,19551220,20260417
Rough Range 10,W000042,Northern Carnarvon,LP-18H,114.08748,-22.417759,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19570622,19570711,20260417
Rough Range South 4,W000046,Northern Carnarvon,LP-18H,114.026341,-22.534731,West Australian Petroleum Pty Limited,STR,P&A STR,,19560817,19560902,20260417
Rough Range South 5,W000047,Northern Carnarvon,LP-18H,113.989529,-22.574895,West Australian Petroleum Pty Limited,NFW,P&A,,19561014,19561113,20260417
Meda 1,W000055,Canning,LP-54H,124.193629,-17.397966,West Australian Petroleum Pty Limited,NFW,P&A OGS,,19580608,19581121,20260417
Fraser River 1,W000060,Canning,LP-27H,123.163626,-17.416143,West Australian Petroleum Pty Limited,NFW,P&A,,19551222,19560827,20260417
Fraser River 1 ST,W000060,Canning,LP-27H,123.163626,-17.416143,West Australian Petroleum Pty Limited,NFW,P&A,,19560309,19560827,20260417
Yardarino 3,W000081,Perth,LP-111H,115.055011,-29.225543,West Australian Petroleum Pty Limited,EXT,P&A,,19641008,19641130,20260417
Mungarra 4,W000086,Perth,LP-119H,115.267007,-28.904024,West Australian Petroleum Pty Limited,STR,P&A STR,,19650616,19650630,20260417
Mungarra 5,W000087,Perth,LP-119H,115.138119,-28.894581,West Australian Petroleum Pty Limited,STR,P&A STR,,19650630,19650710,20260417
Yardarino 4,W000092,Perth,LP-111H,115.054439,-29.215976,West Australian Petroleum Pty Limited,EXT,P&A G,Yardarino,19641204,19641230,20260417
Barrow_F36J,W000093,Northern Carnarvon,LP-113H,115.392446,-20.836789,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19641215,19650206,20260417
Barrow_L16J,W000100,Northern Carnarvon,LP-113H,115.392832,-20.801137,West Australian Petroleum Pty Limited,EXT,P&S,Barrow Island,19650212,19650327,20260417
Browne 1,W000123,Officer,PE-147H,125.816022,-25.85001,Hunt Oil Company,STR,P&A STR,,19650906,19650915,20260417
Barrow_G76,W000134,Northern Carnarvon,LP-113H,115.361827,-20.852769,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19651118,19651126,20260417
Hill River 1,W000002,Perth,PE-27H,115.313969,-30.266534,West Australian Petroleum Pty Limited,STR,P&A STR,,19620402,19620425,20260417
Hill River 4,W000005,Perth,PE-27H,115.233692,-30.389871,West Australian Petroleum Pty Limited,STR,P&A STR,,19620619,19620711,20260417
Hawkstone Peak 1,W000017,Canning,LP-101H,124.410007,-17.238589,West Australian Petroleum Pty Limited,NFW,P&A,,19621017,19621202,20260417
Cape Range 3A,W000023,Northern Carnarvon,LP-35H,114.001621,-22.145353,West Australian Petroleum Pty Limited,NFW,P&A,,19560714,19560822,20260417
Cape Range 4,W000024,Northern Carnarvon,LP-36H,113.939093,-22.324134,West Australian Petroleum Pty Limited,NFW,P&A,,19560921,19561010,20260417
Grierson 2,W000029,Southern Carnarvon,LP-33H,113.786539,-24.201931,West Australian Petroleum Pty Limited,STR,P&A STR,,19550513,19550530,20260417
Rough Range 06,W000038,Southern Carnarvon,LP-18H,114.082031,-22.419572,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541220,19550107,20260417
Rough Range South 1,W000043,Northern Carnarvon,LP-18H,113.962054,-22.62237,West Australian Petroleum Pty Limited,STR,P&A STR,,19560514,19560617,20260417
Rough Range South 2,W000044,Northern Carnarvon,LP-18H,114.005093,-22.564376,West Australian Petroleum Pty Limited,STR,P&A STR,,19560626,19560704,20260417
Warroora 1,W000049,Southern Carnarvon,LP-30H,113.881864,-23.509665,West Australian Petroleum Pty Limited,NFW,P&A,,19550124,19550526,20260417
Paterson 1,W000068,Northern Carnarvon,LP-85H,113.935459,-22.459614,West Australian Petroleum Pty Limited,NFW,P&A,,19631108,19640115,20260417
Tandalgoo 3,W000077,Canning,PE-30H,123.450009,-21.299986,West Australian Petroleum Pty Limited,NFW,P&A,,19631114,19631114,20260417
Mungarra 1,W000083,Perth,LP-119H,115.118674,-28.850414,West Australian Petroleum Pty Limited,STR,P&A STR,,19641003,19641106,20260417
Stansmore Range 1,W000094,Canning,PE-151H,127.965287,-21.259708,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641030,19641031,20260417
Allanooka 1,W000099,Perth,LP-119H,115.014405,-29.142479,West Australian Petroleum Pty Limited,NFW,P&A,,19650108,19650129,20260417
Allanooka 2,W000101,Perth,LP-119H,114.996395,-29.099896,West Australian Petroleum Pty Limited,NFW,P&A,,19650203,19650213,20260417
Gingin 2,W000119,Perth,LP-115H,115.847785,-31.173171,West Australian Petroleum Pty Limited,EXT,P&A G,Gingin,19650725,19660118,20260417
Alexandra Bridge 1,W000122,Perth,PE-27H,115.261567,-34.156292,West Australian Petroleum Pty Limited,STR,P&A STR,,19650727,19650809,20260417
Browne 2,W000124,Officer,PE-147H,125.963869,-25.931938,Hunt Oil Company,STR,P&A STR,,19651013,19651019,20260417
Point Moody 1,W000128,Canning,LP-154H,127.808314,-21.2603,Australian Aquitaine Petroleum Pty Ltd,STR,P&A STR,,19651002,19660115,20260417
Kidson 1,W000130,Canning,LP-155H,125.005027,-22.613119,West Australian Petroleum Pty Limited,STR,P&A STR,,19651121,19660724,20260417
Wandagee Corehole 2,W000009,Southern Carnarvon,PE-28H,114.52896,-23.88829,West Australian Petroleum Pty Limited,STR,P&A STR,,19620116,19620125,20260417
Cape Cuvier 1,W000020,Southern Carnarvon,LP-34H,113.398594,-24.225122,West Australian Petroleum Pty Limited,STR,P&A STR,,19550716,19550905,20260417
Learmonth 1,W000031,Northern Carnarvon,LP-52H,114.061902,-22.183137,West Australian Petroleum Pty Limited,NFW,P&A,,19570924,19580206,20260417
Learmonth 1 ST1,W000031,Northern Carnarvon,LP-52H,114.061902,-22.183137,West Australian Petroleum Pty Limited,NFW,P&A,,,,20260417
Rough Range 01,W000032,Southern Carnarvon,LP-18H,114.083485,-22.417561,West Australian Petroleum Pty Limited,NFW,P&A OS,Rough Range,19530905,19550508,20260417
Rough Range 04,W000036,Southern Carnarvon,LP-18H,114.083547,-22.422379,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541016,19541103,20260417
Rough Range 05,W000037,Southern Carnarvon,LP-18H,114.077411,-22.417534,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19541110,19541128,20260417
Rough Range 08,W000040,Northern Carnarvon,LP-18H,114.064039,-22.445538,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19550225,19550318,20260417
Thangoo 1,W000059A,Canning,LP-66H,122.8923,-18.366736,West Australian Petroleum Pty Limited,NFW,P&A,,19591107,19591211,20260417
Frome Rocks 2,W000061,Canning,LP-56H,123.661262,-18.253865,West Australian Petroleum Pty Limited,NFW,P&A,,19590219,19590601,20260417
Roebuck Bay 1,W000066,Canning,PE-30H,122.459267,-18.159166,West Australian Petroleum Pty Limited,STR,P&A STR,,19560729,19560904,20260417
Wicherina 1,W000067,Perth,LP-27H,115.242007,-28.831246,West Australian Petroleum Pty Limited,NFW,P&A,,19640214,19640306,20260417
Brooking Springs 1,W000080,Canning,PE-30H,125.634625,-18.068853,West Australian Petroleum Pty Limited,STR,P&A STR,,19621015,19621015,20260417
Stansmore Range 5,W000098,Canning,PE-151H,127.780565,-21.279153,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641106,19641106,20260417
Mt Hill 1,W000102,Perth,PE-27H,114.985343,-29.067915,West Australian Petroleum Pty Limited,STR,P&A STR,,19641108,19641121,20260417
Barrow_L58J,W000118,Northern Carnarvon,LP-113H,115.399502,-20.815917,West Australian Petroleum Pty Limited,EXT,SUSP,Barrow Island,19650708,19650811,20260417
Yowalga 1,W000126,Officer,PE-147H,125.96671,-26.169986,Hunt Oil Company,STR,P&A STR,,19650916,19650927,20260417
Pinjarra 1,W000127,Perth,LP-128H,115.771122,-32.675543,West Australian Petroleum Pty Limited,NFW,P&A,,19651005,19651231,20260417
Barrow_L52,W000133,Northern Carnarvon,LP-113H,115.376306,-20.816068,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19651110,19651117,20260417
Barrow_H38,W000140,Northern Carnarvon,LP-113H,115.338803,-20.83855,West Australian Petroleum Pty Limited,EXT,P&A,Barrow Island,19660122,19660130,20260417
Merlinleigh 1,W000150,Southern Carnarvon,PE-28H,114.990654,-24.496689,West Australian Petroleum Pty Limited,STR,P&A STR,,19660518,19660526,20260417
Wandagee 1,W000007,Southern Carnarvon,PE-28H,114.399316,-23.888876,West Australian Petroleum Pty Limited,STR,P&A STR,,19620425,19620617,20260417
Woolmulla 1,W000018,Perth,LP-100H,115.193747,-30.021167,West Australian Petroleum Pty Limited,NFW,P&A,,19621103,19630315,20260417
Exmouth Structure Hole 1,W000025,Northern Carnarvon,LP-18H,114.112592,-22.385009,West Australian Petroleum Pty Limited,STR,P&A STR,,19561101,19561109,20260417
Rough Range South 3,W000045,Northern Carnarvon,LP-18H,114.043377,-22.503812,West Australian Petroleum Pty Limited,STR,P&A STR,,19560710,19560728,20260417
Whaleback 1,W000052,Northern Carnarvon,LP-106H,113.862174,-22.730537,West Australian Petroleum Pty Limited,NFW,P&A,,19630730,19631023,20260417
Goldwyer 1,W000057,Canning,LP-55H,122.384345,-18.379458,West Australian Petroleum Pty Limited,NFW,P&A,,19580817,19581122,20260417
Bonaparte 2,W000078,Bonaparte,LP-114H,128.722362,-15.083827,Alliance Oil Development Aust NL & Assoc Companies,NFW,P&A G,,19640725,19641014,20260417
Mungarra 2,W000084,Perth,LP-119H,115.084752,-28.908192,West Australian Petroleum Pty Limited,STR,P&A STR,,19650125,19650211,20260417
Barrow_L74J,W000089,Northern Carnarvon,LP-113H,115.384872,-20.823339,West Australian Petroleum Pty Limited,EXT,Shut in,Barrow Island,19641104,19641211,20260417
Stansmore Range 2,W000095,Canning,PE-151H,128.000009,-21.263875,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641031,19641101,20260417
North Ballythanna Corehole 4,W000109,Southern Carnarvon,PE-226H,115.679178,-25.922209,Continental Oil Co  Of Australia Ltd,STR,P&A STR,,19650401,19650402,20260417
Barrow_L56J,W000110,Northern Carnarvon,LP-113H,115.392414,-20.816089,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19650401,19650512,20260417
Goorda 1,W000111,Canning,PE-30H,122.940009,-18.572486,West Australian Petroleum Pty Limited,STR,P&A STR,,19630615,19630905,20260417
Willara 1,W000115,Canning,LP-148H,122.075092,-19.179891,West Australian Petroleum Pty Limited,NFW,P&A,,19650609,19651018,20260417
Barrow_B12,W000135,Northern Carnarvon,LP-113H,115.346592,-20.858418,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19651128,19651203,20260417
Sholl Island 1,W000148,Northern Carnarvon,LP-159H,115.900507,-20.95033,West Australian Petroleum Pty Limited,STR,P&A STR,,19670106,19670127,20260417
Barrow_L76J,W000158,Northern Carnarvon,LP-113H,115.393386,-20.823164,West Australian Petroleum Pty Limited,EXT,P&A,Barrow Island,19660705,19660722,20260417
Long Island 1,W000160,Northern Carnarvon,LP-165H,114.689401,-21.619514,West Australian Petroleum Pty Limited,STR,P&A STR,,19660921,19661104,20260417
Preston 1,W000163,Perth,PE-27H,115.711122,-32.949154,West Australian Petroleum Pty Limited,STR,P&A STR,,19660826,19660919,20260417
Barrow_G18,W000173,Northern Carnarvon,L 1H,115.369344,-20.830571,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670302,,20260417
Bonaparte 1,W000001,Bonaparte,PE-172H,128.744307,-15.015216,Alliance Oil Development Aust NL & Assoc Companies,NFW,P&A,,19630718,19640606,20260417
Hill River 2A,W000006,Perth,PE-27H,115.247226,-30.182522,West Australian Petroleum Pty Limited,STR,P&A STR,,19620524,19620525,20260417
Eganu 1,W000013,Perth,PE-27H,115.829798,-29.984583,West Australian Petroleum Pty Limited,STR,P&A STR,,19621231,19630116,20260417
Jurien 1,W000014,Perth,LP-98H,115.048344,-30.144431,West Australian Petroleum Pty Limited,NFW,P&A,,19620709,19620828,20260417
Abbarwardoo 1,W000019,Perth,PE-27H,115.1624,-28.5867,West Australian Petroleum Pty Limited,STR,P&A STR,,19621212,19621220,20260417
Rough Range 03,W000035,Southern Carnarvon,LP-18H,114.087429,-22.410186,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19540915,19540924,20260417
Yanrey 1,W000050,Northern Carnarvon,LP-51H,114.584319,-22.255755,West Australian Petroleum Pty Limited,NFW,P&A,,19570720,19570727,20260417
Quail 1,W000051,Southern Carnarvon,LP-103H,114.50248,-23.951208,West Australian Petroleum Pty Limited,NFW,P&A,,19630519,19640120,20260417
Dampier Downs 1,W000056,Canning,PE-30H,123.102594,-18.298906,West Australian Petroleum Pty Limited,STR,P&A STR,,19560926,19561217,20260417
Wallal Corehole 1,W000064,Canning,PE-30H,120.63307,-19.862764,West Australian Petroleum Pty Limited,STR,P&A STR,,19570704,19570729,20260417
Learmonth 2,W000069,Northern Carnarvon,LP-108H,114.066567,-22.293158,West Australian Petroleum Pty Limited,NFW,P&A,,19640122,19640305,20260417
Barrow_L54J,W000073,Northern Carnarvon,LP-113H,115.38509,-20.815975,West Australian Petroleum Pty Limited,NFW,O,Barrow Island,19640507,19640827,20260417
Yardarino 1,W000074,Perth,LP-111H,115.056369,-29.220776,West Australian Petroleum Pty Limited,NFW,P&A G,Yardarino,19640407,19640616,20260417
Yardarino 1 Deepening,W000074,Perth,LP-111H,115.056369,-29.220776,West Australian Petroleum Pty Limited,NFW,P&A G,Yardarino,19990202,19990513,20260417
Yardarino 2,W000079,Perth,LP-111H,115.065525,-29.204253,West Australian Petroleum Pty Limited,NFW,P&A,Yardarino,19640708,19640920,20260417
North Ballythanna Corehole 3,W000108,Southern Carnarvon,PE-226H,115.633344,-25.936098,Continental Oil Co  Of Australia Ltd,STR,P&A STR,,19650330,19650402,20260417
Arrowsmith 1,W000112,Perth,LP-130H,115.118643,-29.610817,French Petroleum Co (Australia) Pty Ltd,NFW,P&A G,,19650404,19650619,20260417
Barrow_F52,W000129,Northern Carnarvon,LP-113H,115.377066,-20.844806,West Australian Petroleum Pty Limited,EXT,P&A,Barrow Island,19651010,19651029,20260417
Barrow_BB52J,W000149,Northern Carnarvon,LP-113H,115.441008,-20.671422,West Australian Petroleum Pty Limited,EXT,P&A,Barrow Island,19660412,19660517,20260417
Dongara 02,W000159,Perth,LP-111H,114.978151,-29.248418,West Australian Petroleum Pty Limited,EXT,P&A,Dongara,19660731,19660812,20260417
Barrow_L45J,W000162,Northern Carnarvon,LP-113H,115.389056,-20.812418,West Australian Petroleum Pty Limited,EXT,O,Barrow Island,19660805,19660825,20260417
Hill River 2,W000003,Perth,PE-27H,115.243992,-30.182722,West Australian Petroleum Pty Limited,STR,P&A STR,,19620506,19620524,20260417
Wandagee Corehole 3,W000010,Southern Carnarvon,PE-28H,114.336102,-23.829959,West Australian Petroleum Pty Limited,STR,P&A STR,,19620130,19620202,20260417
Langoora 1,W000015,Canning,LP-54H,124.113342,-17.30193,West Australian Petroleum Pty Limited,NFW,P&A,,19620825,19621009,20260417
Marrilla 1,W000053,Southern Carnarvon,PE-28H,114.502221,-22.930563,West Australian Petroleum Pty Limited,STR,P&A STR,,19630317,19630403,20260417
Samphire Marsh 1,W000065,Canning,LP-53H,121.183046,-19.520302,West Australian Petroleum Pty Limited,NFW,Water,,19580218,19580504,20260417
Eucla 1,W000070,Eucla,PE-173H,128.222509,-31.870819,Alliance Petroleum Australia NL,STR,P&A STR,,19640121,19640224,20260417
Tandalgoo 1,W000075,Canning,PE-30H,123.450009,-21.099986,West Australian Petroleum Pty Limited,NFW,Water,,19631110,19631113,20260417
Barrow_L72J,W000082,Northern Carnarvon,LP-113H,115.376422,-20.823202,West Australian Petroleum Pty Limited,DEV,SUSP,Barrow Island,19640830,19641031,20260417
Stansmore Range 4,W000097,Canning,PE-151H,127.858342,-21.24443,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641105,19641105,20260417
North Ballythanna Corehole 1,W000106,Southern Carnarvon,EP 46,115.6639,-25.927765,Continental Oil Co  Of Australia Ltd,STR,P&A STR,,19650326,19650328,20260417
Bookara 1,W000114,Perth,PE-27H,114.773121,-28.983474,West Australian Petroleum Pty Limited,STR,P&A STR,,19650423,19650503,20260417
St George Range 1,W000117,Canning,LP-132H,125.139665,-18.689327,Continental Oil Co  Of Australia Ltd,NFW,P&A GS,,19650916,19660515,20260417
Lennis 1,W000125,Officer,PE-134H,126.35001,-27.283286,Hunt Oil Company,STR,P&A STR,,19650929,19651008,20260417
Yowalga 2,W000145,Officer,LP-170H,125.966677,-26.169986,Hunt Oil Company,NFW,P&A,,19660301,19660324,20260417
Dongara 01,W000155,Perth,LP-111H,114.990564,-29.252092,West Australian Petroleum Pty Limited,NFW,Suspended,Dongara,19660330,19660702,20260417
Onslow 1,W000161,Northern Carnarvon,LP-174H,114.876007,-21.765212,West Australian Petroleum Pty Limited,NFW,P&A G,,19660901,19661115,20260417
Dongara 03,W000164,Perth,LP-111H,115.00315,-29.257792,West Australian Petroleum Pty Limited,EXT,P&A G,Dongara,19660902,19660918,20260417
Tortoise Island 1,W000167,Northern Carnarvon,LP-173H,114.86015,-21.57957,West Australian Petroleum Pty Limited,STR,P&A STR,,19661114,19661226,20260417
Badaminna 1,W000172,Perth,LP-181H,115.668706,-31.340708,West Australian Petroleum Pty Limited,NFW,P&A,,19670131,19670227,20260417
Barrow_G58,W000183,Northern Carnarvon,L 1H,115.369871,-20.845245,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670422,,20260417
Barrow_L78,W000190,Northern Carnarvon,L 1H,115.400722,-20.822628,West Australian Petroleum Pty Limited,DEV,Shut in,Barrow Island,19670420,,20260417
Grierson 1,W000028,Southern Carnarvon,LP-33H,113.774011,-24.201304,West Australian Petroleum Pty Limited,STR,P&A STR,,19550410,19550508,20260417
Rough Range 01A,W000033,Northern Carnarvon,LP-18H,114.083572,-22.417584,West Australian Petroleum Pty Limited,EXT,P&A OS,Rough Range,19550511,19550618,20260417
Rough Range 02,W000034,Southern Carnarvon,LP-18H,114.069721,-22.429923,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19540704,19540807,20260417
Rough Range 07,W000039,Northern Carnarvon,LP-18H,114.0701,-22.443695,West Australian Petroleum Pty Limited,EXT,P&A,Rough Range,19550116,19550220,20260417
Rough Range South 6,W000048,Northern Carnarvon,LP-18H,114.013618,-22.540851,West Australian Petroleum Pty Limited,STR,P&A STR,,19561127,19561204,20260417
Barlee 1,W000063,Canning,LP-67H,122.71403,-17.806419,West Australian Petroleum Pty Limited,NFW,P&A,,19600412,19600729,20260417
Meda 2,W000088,Canning,LP-54H,124.191779,-17.408166,West Australian Petroleum Pty Limited,NFW,P&A,,19590127,19590420,20260417
Gingin 1,W000090,Perth,LP-115H,115.827233,-31.143043,West Australian Petroleum Pty Limited,NFW,P&A G,Gingin,19641116,19650715,20260417
Sahara 1,W000091,Canning,LP-117H,123.394087,-21.074892,West Australian Petroleum Pty Limited,NFW,P&A,,19650111,19650303,20260417
Stansmore Range 3,W000096,Canning,PE-151H,127.872231,-21.261097,Hackathorn New Zealand Oils Ltd,STR,P&A STR,,19641101,19641102,20260417
Mt Horner 01,W000103,Perth,LP-126H,115.086455,-29.128194,West Australian Petroleum Pty Limited,NFW,P&A,Mount Horner,19650226,19650417,20260417
Mt Alexander 1,W000104,Canning,PE-30H,123.667787,-18.690786,West Australian Petroleum Pty Limited,STR,P&A STR,,19580801,19580801,20260417
North Ballythanna Corehole 2,W000107,Southern Carnarvon,PE-226H,115.647233,-25.932765,Continental Oil Co  Of Australia Ltd,STR,P&A STR,,19650328,19650329,20260417
Eurangoa 1,W000116,Perth,LP-126H,115.139232,-29.12597,West Australian Petroleum Pty Limited,NFW,P&A,,19650614,19650709,20260417
Cadda 1,W000120,Perth,LP-151H,115.214804,-30.33626,French Petroleum Co (Australia) Pty Ltd,NFW,P&A,,19650713,19650919,20260417
Barrow_D14J,W000121,Northern Carnarvon,LP-113H,115.417305,-20.860471,West Australian Petroleum Pty Limited,EXT,SUSP,Barrow Island,19650818,19650923,20260417
Barrow_G16,W000132,Northern Carnarvon,LP-113H,115.361398,-20.8297,West Australian Petroleum Pty Limited,EXT,Shut in,Barrow Island,19651102,19651108,20260417
Barrow_Q52,W000138,Northern Carnarvon,LP-113H,115.37747,-20.786745,West Australian Petroleum Pty Limited,EXT,Shut in,Barrow Island,19660102,19660110,20260417
Sue 1,W000141,Perth,LP-152H,115.323978,-34.06566,West Australian Petroleum Pty Limited,NFW,P&A,,19660131,19660308,20260417
Merlinleigh 2,W000151,Southern Carnarvon,PE-28H,114.993989,-24.479176,West Australian Petroleum Pty Limited,STR,P&A STR,,19660530,19660615,20260417
Wandagee Corehole 1,W000008,Southern Carnarvon,PE-28H,114.399335,-23.888845,West Australian Petroleum Pty Limited,STR,P&A STR,,19620106,19620114,20260417
Babrongan 1,W000011,Canning,LP-96H,123.596195,-18.388873,West Australian Petroleum Pty Limited,NFW,P&A,,19620529,19620715,20260417
Eneabba 1,W000012,Perth,LP-95H,115.33368,-29.569307,West Australian Petroleum Pty Limited,NFW,P&A GS,,19610612,19611126,20260417
The Sisters 1,W000016,Canning,LP-17H,124.420461,-17.72386,Associated Freney Oilfields NL,NFW,P&A,,19561222,19570605,20260417
Minderoo 1,W000054,Northern Carnarvon,PE-28H,115.079803,-21.845931,West Australian Petroleum Pty Limited,STR,P&A STR,,19630409,19630427,20260417
Grant Range 1,W000058,Canning,LP-25H,124.010262,-18.013617,West Australian Petroleum Pty Limited,NFW,P&A,,19541029,19551022,20260417
Thangoo 1A,W000059,Canning,PE-30H,122.886659,-18.362176,West Australian Petroleum Pty Limited,NFW,P&A,,19591225,19600217,20260417
Frome Rocks 1,W000062,Canning,LP-56H,123.64654,-18.196365,West Australian Petroleum Pty Limited,NFW,P&A,,19590102,19590207,20260417
Gambanga 1,W000071,Eucla,LP-65H,124.833343,-32.266653,Exoil Oil Company Pty Ltd,STR,P&A STR,,19600214,19600305,20260417
Eyre 1,W000072,Eucla,LP-64H,127.076676,-32.117208,Exoil Oil Company Pty Ltd,STR,P&A STR,,19591127,19600124,20260417
Tandalgoo 2,W000076,Canning,PE-30H,123.450009,-21.116653,West Australian Petroleum Pty Limited,NFW,P&A,,19631116,19631116,20260417
Mungarra 3,W000085,Perth,LP-119H,115.084782,-28.964303,West Australian Petroleum Pty Limited,STR,P&A STR,,19650310,19650329,20260417
Parda 1,W000105,Canning,LP-129H,122.009179,-18.933942,West Australian Petroleum Pty Limited,NFW,P&A,,19650419,19650517,20260417
Mt Horner 02,W000113,Perth,LP-111H,115.079544,-29.143937,West Australian Petroleum Pty Limited,EXT,P&A,Mount Horner,19650424,19650527,20260417
Mt Adams 1,W000146,Perth,LP-171H,115.168126,-29.405697,West Australian Petroleum Pty Limited,NFW,P&A,,19660326,19660524,20260417
Barrow_X53J,W000156,Northern Carnarvon,L 1H,115.428015,-20.727984,West Australian Petroleum Pty Limited,O,P&A,Barrow Island,19660521,19660703,20260417
Cockburn 1,W000170,Perth,LP-180H,115.737522,-32.134767,West Australian Petroleum Pty Limited,NFW,P&A,,19670517,19670704,20260417
Barrow_G36,W000178,Northern Carnarvon,L 1H,115.361808,-20.837912,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670211,,20260417
Barrow_F61,W000179,Northern Carnarvon,L 1H,115.373628,-20.848768,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670120,,20260417
Barrow_M61,W000184,Northern Carnarvon,L 1H,115.40424,-20.819675,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670413,,20260417
Barrow_F45,W000187,Northern Carnarvon,LP-113H,115.38892,-20.84154,West Australian Petroleum Pty Limited,DEV,Shut in,Barrow Island,19670429,,20260417
Barrow_M74,W000191,Northern Carnarvon,L 1H,115.416287,-20.822934,West Australian Petroleum Pty Limited,DEV,Shut in,Barrow Island,19661218,,20260417
Barrow_M54,W000131,Northern Carnarvon,LP-113H,115.415832,-20.816647,West Australian Petroleum Pty Limited,EXT,Shut in,Barrow Island,19651022,19651031,20260417
Barrow_P74,W000139,Northern Carnarvon,LP-113H,115.416648,-20.79344,West Australian Petroleum Pty Limited,EXT,P&S,Barrow Island,19660112,19660120,20260417
Barrow_T74,W000143,Northern Carnarvon,LP-113H,115.400279,-20.765077,West Australian Petroleum Pty Limited,EXT,P&S,Barrow Island,19660215,19660221,20260417
Barrow_L32J,W000144,Northern Carnarvon,LP-113H,115.377807,-20.808865,West Australian Petroleum Pty Limited,EXT,SUSP,Barrow Island,19660224,19660401,20260417
Erregulla 1,W000147,Perth,LP-175H,115.398955,-29.37597,West Australian Petroleum Pty Limited,NFW,P&A,,19660908,19661230,20260417
Merlinleigh 5,W000154,Southern Carnarvon,PE-28H,114.988426,-24.474179,West Australian Petroleum Pty Limited,STR,P&A STR,,19660714,19660718,20260417
Yaringa 1,W000157,Southern Carnarvon,LP-172H,114.361122,-26.064839,Continental Oil Co  Of Australia Ltd,NFW,P&A,,19660702,19660818,20260417
Donkey Creek 1,W000165,Perth,LP-176H,115.291739,-29.625141,French Petroleum Co (Australia) Pty Ltd,NFW,P&A,,19660830,19661021,20260417
Barrow_F34,W000186,Northern Carnarvon,L 1H,115.385218,-20.837534,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19661222,,20260417
Barrow_L81,W000222,Northern Carnarvon,L 1H,115.37356,-20.827329,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670220,,20260417
Barrow_P23,W000225,Northern Carnarvon,L 1H,115.412202,-20.775648,West Australian Petroleum Pty Limited,DEV,P&S,Barrow Island,19670522,,20260417
Barrow_G74,W000250,Northern Carnarvon,L 1H,115.354367,-20.852421,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670701,,20260417
Barrow_G83,W000251,Northern Carnarvon,L 1H,115.350436,-20.85555,West Australian Petroleum Pty Limited,DEV,P&S,Barrow Island,19670713,,20260417
Barrow_G12,W000256,Northern Carnarvon,L 1H,115.346883,-20.830461,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19670702,,20260417
Barrow_P76,W000263,Northern Carnarvon,L 1H,115.423575,-20.794332,West Australian Petroleum Pty Limited,DEV,Shut in,Barrow Island,19670820,,20260417
Barrow_B21,W000264,Northern Carnarvon,L 1H,115.342461,-20.863261,West Australian Petroleum Pty Limited,DEV,P&S,Barrow Island,19670917,,20260417
Barrow_K74,W000269,Northern Carnarvon,L 1H,115.354318,-20.823205,West Australian Petroleum Pty Limited,DEV,P&S,Barrow Island,19670825,,20260417
