WELL_NAME,UWI,BASIN,LEASE_NO,LONG,LAT,OPERATOR,CLASS,STATUS,FIELD,SPUD_DATE,RIG_RELEASE_DATE,EXTRACT_DATE
Stickle 1,W002673,Northern Carnarvon,WA-12-R,114.127754,-21.521854,BHP Billiton Petroleum (Australia) Pty Ltd,NFW,P&A OS,Stickle,20040508,20040521,20260417
Stickle 1 CH2,W002673,Northern Carnarvon,WA-12-R,114.127754,-21.521854,BHP Billiton Petroleum (Australia) Pty Ltd,NFW,P&A OS,Stickle,20040519,20040521,20260417
Stickle 1 CH1,W002673,Northern Carnarvon,WA-12-R,114.127754,-21.521854,BHP Billiton Petroleum (Australia) Pty Ltd,NFW,P&A,Stickle,20040516,,20260417
Scalybutt 1H,W002689,Northern Carnarvon,WA-25-L,114.890821,-20.917941,ENI Australia Limited,NFW,SUSP O,Woollybutt,20050212,20050306,20260417
Scalybutt 1,W002689,Northern Carnarvon,WA-25-L,114.890821,-20.917941,ENI Australia Limited,NFW,O,Woollybutt,20040626,20040721,20260417
Bambra 5H,W002695,Northern Carnarvon,TL/1,115.622834,-20.566091,Apache Northwest Pty Ltd,DEV,P&A,Bambra,20040715,20040816,20260417
Bambra 5H BHC1,W002695,Northern Carnarvon,TL/1,115.622834,-20.566091,Apache Northwest Pty Ltd,DEV,P&A,Bambra,20040806,20040816,20260417
Bambra 5H BHC1 L1,W002695,Northern Carnarvon,TL/1,115.622834,-20.566091,Apache Northwest Pty Ltd,DEV,P&A,Bambra,20040810,20040816,20260417
Centella 1,W002698,Perth,L 1,115.103486,-29.300356,Arc Energy Limited,NFW,P&A,,20040806,20040904,20260417
Norfolk North 1,W002722,Northern Carnarvon,WA-26-L,116.661904,-19.230169,Santos Limited,EXT,P&A OS,Mutineer,20041212,20041228,20260417
Boojum 1,W002723,Northern Carnarvon,TP/18,115.036199,-21.235834,Tap Oil Limited,NFW,P&A GS,,20041216,20041226,20260417
Woollybutt 4,W002725,Northern Carnarvon,WA-25-L,114.868382,-20.954479,ENI Australia Limited,EXT,P&A O,Woollybutt,20041218,20050109,20260417
Cliff Head 6,W002736,Perth,WA-286-P,114.870039,-29.450105,Roc Oil (WA) Pty Limited,EXT,SUSP O,Cliff Head,20050227,20050314,20260417
ENA 05,W002749,Northern Carnarvon,WA-28-L,113.989181,-21.481876,Woodside Energy Ltd,DEV,O,Enfield,20050414,20060510,20260417
Harriet A 11,W002759,Northern Carnarvon,TL/1,115.614197,-20.602148,Apache Northwest Pty Ltd,DEV,P&A O,Harriet,20050429,20050507,20260417
Yardarino 6,W002760,Perth,L 2,115.060524,-29.21971,Arc Energy Limited,EXT,P&A GS,,20050511,20050522,20260417
John Brookes 3,W002761,Northern Carnarvon,WA-29-L,115.120141,-20.44735,Apache Northwest Pty Ltd,DEV,SUSP G,John Brookes,20050510,20050520,20260417
John Brookes 3 ST1,W002761,Northern Carnarvon,WA-29-L,115.120141,-20.44735,Apache Northwest Pty Ltd,DEV,SUSP G,John Brookes,20050725,20050820,20260417
Mohave 1,W002773,Northern Carnarvon,TL/6,115.571748,-20.739476,Apache Northwest Pty Ltd,NFW,O,Mohave,20050709,20050713,20260417
Mohave 1H,W002773,Northern Carnarvon,TL/6,115.571748,-20.739476,Apache Northwest Pty Ltd,NFW,Shut in,Mohave,20050714,20050720,20260417
Artreus 1,W002788,Northern Carnarvon,TL/6,115.514346,-20.668762,Apache Northwest Pty Ltd,NFW,Shut in,Artreus,20050909,20050924,20260417
ENB 01,W002794,Northern Carnarvon,WA-28-L,113.99287,-21.465474,Woodside Energy Ltd,WIW,SUSP,Enfield,20051003,20060510,20260417
Wandoo 3,W001813,Northern Carnarvon,WA-202-P,116.439273,-20.129476,Ampol Exploration Ltd,EXT,SUSP O,Wandoo,19920703,19920712,20260417
West Muiron 3,W001822,Northern Carnarvon,WA-155-P,114.220133,-21.567021,BHP Petroleum (Australia) Pty Ltd,NFW,P&A G,,19921021,19921106,20260417
Picul 1,W001829,Northern Carnarvon,EP 361,114.906071,-21.895007,Pan Pacific Petroleum NL,NFW,P&A,,19921212,19921217,20260417
Santa Cruz 1,W001875,Northern Carnarvon,EP 341,115.263025,-21.435205,Command Petroleum Holdings NL,NFW,P&A OS,,19931103,19931112,20260417
Roller 12,W001877,Northern Carnarvon,TP/3,114.923801,-21.636169,West Australian Petroleum Pty Limited,DEV,P&A O,Roller,19931107,19931110,20260417
Mydas 1,W001884,Northern Carnarvon,EP 342,114.379255,-21.750652,Hadson Carnarvon Pty Ltd,NFW,P&A,,19931127,19931211,20260417
Skate 3,W001891,Northern Carnarvon,TP/3,114.980156,-21.596973,West Australian Petroleum Pty Limited,DEV,P&A OG,Skate,19931213,19931225,20260417
Corbett 1,W001892,Canning,DR 1,120.612716,-20.067779,Stirling Resources NL,NFW,P&A,,19940319,19940329,20260417
Thevenard WDW 1,W001898,Northern Carnarvon,EP 65,115.021347,-21.456052,West Australian Petroleum Pty Limited,WDW,P&A,,19940313,19940408,20260417
Thevenard WDW 3,W001900,Northern Carnarvon,EP 65,115.021294,-21.456177,West Australian Petroleum Pty Limited,WDW,P&A,,19940218,19940311,20260417
Chestnut 1,W001907,Canning,DR 2,124.857113,-17.728118,Bow Valley (Australia) Ltd,NFW,P&A GS,,19940708,19940822,20260417
HA 08,W001911,Northern Carnarvon,TL/1,115.614202,-20.602174,Hadson Australia Development Pty Ltd,DEV,P&A,Harriet,19940521,19940620,20260417
HA 08H,W001911,Northern Carnarvon,TL/1,115.614202,-20.602174,Hadson Australia Development Pty Ltd,DEV,P&A,Harriet,19940605,19940620,20260417
Stag 4,W001931,Northern Carnarvon,WA-209-P,116.272282,-20.277211,Hadson Dampier,EXT,P&A OS,Stag,19941126,19941205,20260417
GWA 02,W001943,Northern Carnarvon,WA-5-L,115.929743,-19.652172,Woodside Offshore Petroleum Pty Ltd,DEV,G&C,Goodwyn,19941115,19950401,20260417
Wattle 1,W001949,Canning,EP 129,124.227664,-17.469099,Bow Valley (Australia) Ltd,NFW,P&A OS,,19940902,19941025,20260417
Wattle 1 ST1,W001949,Canning,EP 129,124.227664,-17.469099,Bow Valley (Australia) Ltd,NFW,P&A OS,,19940919,19941025,20260417
Arranoo South 1,W001950,Perth,L 7,115.085144,-29.155416,Discovery Petroleum NL,NFW,P&A,,19941228,19950113,20260417
Chinook 2,W001957,Northern Carnarvon,WA-10-L,114.681969,-21.151647,BHP Petroleum (Australia) Pty Ltd,EXT,P&A,Chinook/Scindian,19950312,19950403,20260417
WA 05,W001962,Northern Carnarvon,WA-202-P,116.422909,-20.137378,Ampol Exploration Ltd,DEV,O,Wandoo,19950110,19950205,20260417
Spinner 1,W001965,Northern Carnarvon,WA-208-P,116.56591,-19.74604,MIM Petroleum Exploration Pty Ltd.,NFW,P&A,,19950317,19950405,20260417
Titan 1,W001979,Northern Carnarvon,WA-1-P,116.722754,-19.701923,Woodside Offshore Petroleum Pty Ltd,NFW,P&A,,19950520,19950531,20260417
Gingin 3,W002263,Perth,EP 389,115.831597,-31.153793,Empire Oil & Gas NL,NFW,P&A,Gingin,19980825,19981116,20260417
Rose 2,W002278,Northern Carnarvon,TL/1,115.701035,-20.617496,Apache Energy Limited,EXT,P&A,Rose,19981126,19990102,20260417
Retina 1,W002290,Browse,WA-265-P,125.19806,-13.352055,Shell Development (Australia) Pty Ltd,NFW,P&A,,19990215,19990220,20260417
Windsor 1,W002293,Northern Carnarvon,TL/5,115.685166,-20.466146,Apache Northwest Pty Ltd,NFW,P&A OGS,,19990302,19990309,20260417
BMR Talbot 2,W002307,Officer,,126.540269,-26.155297,Geoscience Australia,STR,P&A STR,,19720101,19720101,20260417
BMR Talbot 3,W002308,Officer,,126.536969,-26.159197,Geoscience Australia,STR,P&A STR,,19720101,19720101,20260417
Vincent 2,W002313,Northern Carnarvon,WA-271-P,114.047558,-21.436123,Woodside Energy Ltd,EXT,P&A OS,Vincent,19990526,19990610,20260417
Moon 1,W002338,Northern Carnarvon,WA-214-P,115.186972,-20.368265,Mobil Exploration & Producing Australia Pty Ltd,NFW,P&A OGS,,19990919,19991016,20260417
Orthrus 1,W002340,Northern Carnarvon,WA-267-P,114.70048,-20.108665,West Australian Petroleum Pty Limited,NFW,P&A GS,Orthrus,19991001,19991026,20260417
North Gipsy 1,W002341,Northern Carnarvon,TL/1,115.725034,-20.629004,Apache Northwest Pty Ltd,NFW,P&A OGS,North Gipsy,19991018,19991103,20260417
Cadell 1,W002346,Northern Carnarvon,TP/7,115.205523,-21.380061,Apache Northwest Pty Ltd,NFW,P&A OGS,Cadell,19991104,19991111,20260417
Narvik 1,W002352,Northern Carnarvon,TP/8,115.737517,-20.835553,Apache Northwest Pty Ltd,NFW,P&A GS,Narvik,19991123,19991128,20260417
Urania 1,W002364,Northern Carnarvon,WA-267-P,115.042821,-19.800121,West Australian Petroleum Pty Limited,NFW,P&A G,Urania,20000117,20000225,20260417
Baker 1,W002365,Northern Carnarvon,TL/1,115.74289,-20.655173,Apache Northwest Pty Ltd,NFW,P&A GS,Baker,20000116,20000124,20260417
Rutile 1,W002369,Perth,EP 381,115.355489,-34.026145,Amity Oil NL,NFW,P&A OS,,20000206,20000227,20260417
Lotte 1,W002401,Northern Carnarvon,EP 363,115.829138,-20.516316,Apache Northwest Pty Ltd,NFW,P&A,,20000804,20000812,20260417
Antelope 1,W002408,Northern Carnarvon,WA-209-P,116.44517,-19.977557,Apache Northwest Pty Ltd,NFW,P&A,,20000902,20000907,20260417
Hardman 1,W002416,Northern Carnarvon,EP 409,115.358838,-21.280019,Apache Oil Australia Pty Ltd,NFW,P&A,,20000927,20001004,20260417
Legendre North 2H,W002440,Northern Carnarvon,WA-20-L,116.708766,-19.70368,Woodside Energy Ltd,DEV,P&A O,Legendre North,20010124,20010704,20260417
Legendre South 2H,W002443,Northern Carnarvon,WA-20-L,116.708704,-19.703942,Woodside Energy Ltd,DEV,P&A O,Legendre South,20010123,20010704,20260417
Montesa 1,W002451,Northern Carnarvon,WA-271-P,113.813488,-21.532893,Woodside Energy Ltd,NFW,P&A,,20010309,20010320,20260417
Linda 2,W002457,Northern Carnarvon,TL/1,115.694826,-20.544481,Apache Northwest Pty Ltd,EXT,P&A GC,Linda,20010327,20010422,20260417
Cossack 6,W002790,Northern Carnarvon,WA-9-L,116.490352,-19.567245,Woodside Energy Ltd,EXT,P&A OS,Cossack,20050921,20051009,20260417
Cossack 6 ST1,W002790,Northern Carnarvon,WA-9-L,116.490352,-19.567245,Woodside Energy Ltd,EXT,P&A OS,Cossack,20050926,20051009,20260417
Cliff Head 10,W002811,Perth,WA-31-L,114.87003,-29.450061,Roc Oil (WA) Pty Limited,DEV,O,Cliff Head,20051127,20060721,20260417
Pluto 3,W002813,Northern Carnarvon,WA-350-P,115.161349,-19.911654,Woodside Energy Ltd,EXT,SUSP G,Pluto,20051229,20060319,20260417
Pluto 3 ST1,W002813,Northern Carnarvon,WA-350-P,115.161349,-19.911654,Woodside Energy Ltd,EXT,SUSP G,Pluto,20060214,20060319,20260417
Yarri 1,W002816,Northern Carnarvon,WA-25-L,114.921002,-20.974294,ENI Australia Limited,NFW,P&A,Woollybutt,20060118,20060219,20260417
Barrow_S53,W002825,Northern Carnarvon,L 1H,115.366305,-20.754337,West Australian Petroleum Pty Limited,DEV,P&A,Barrow Island,19781002,19781022,20260417
Pluto 4,W002842,Northern Carnarvon,WA-350-P,115.164991,-19.84204,Woodside Energy Ltd,EXT,P&A GS,Pluto,20060429,20060531,20260417
Mutineer 12,W002843,Northern Carnarvon,WA-26-L,116.628117,-19.259348,Santos Limited,DEV,O,Mutineer,20060512,20060619,20260417
Huntsman 1,W002860,Roebuck,WA-297-P,118.414477,-17.131136,Woodside Energy Ltd,NFW,P&A,,20060802,20060907,20260417
Sculptor 2,W002904,Northern Carnarvon,WA-24-L,115.689799,-19.809328,Woodside Energy Ltd,EXT,P&A OGS,,20061229,20070204,20260417
Wonnich Deep 1,W002912,Northern Carnarvon,TL/8,115.429086,-20.499573,Apache Northwest Pty Ltd,EXT,Shut in,Wonnich Deep,20070222,20070426,20260417
Wonnich Deep 1H,W002912,Northern Carnarvon,TL/8,115.429086,-20.499573,Apache Northwest Pty Ltd,EXT,Shut in,Wonnich Deep,20070323,20070426,20260417
Julimar 1,W002913,Northern Carnarvon,WA-356-P,115.040241,-20.136968,Apache Northwest Pty Ltd,NFW,P&A GS,Julimar,20070225,20070422,20260417
Stybarrow 11H,W002919,Northern Carnarvon,WA-255-P,113.825246,-21.473931,BHP Billiton Petroleum (Australia) Pty Ltd,DEV,SUSP O,Stybarrow,20070318,20071122,20260417
Pluto 6,W002927,Northern Carnarvon,WA-350-P,115.123466,-19.910776,Woodside Energy Ltd,EXT,P&A GS,Pluto,20070413,20070514,20260417
Helvellyn 1,W002932,Northern Carnarvon,WA-155-P,114.252066,-21.453501,BHP Billiton Petroleum (Australia) Pty Ltd,NFW,P&A GS,,20070508,20070516,20260417
VNG-1,W002933,Northern Carnarvon,WA-28-L,114.054729,-21.417198,Woodside Energy Ltd,DEV,G,Vincent,20070516,20080316,20260417
VNG-1PH,W002933,Northern Carnarvon,WA-28-L,114.054729,-21.417198,Woodside Energy Ltd,DEV,P&A,Vincent,20070501,20080316,20260417
Dunsborough 1,W002941,Perth,WA-286-P,114.625444,-29.024087,Roc Oil (WA) Pty Limited,NFW,P&A OGS,,20070531,20070617,20260417
VNC-W 1,W002950,Northern Carnarvon,WA-28-P,114.042727,-21.458904,Woodside Energy Ltd,WIW,SUSP,Vincent,20070612,20090328,20260417
Lady Nora 1,W002966,Northern Carnarvon,WA-28-P,115.656552,-19.828759,Woodside Energy Ltd,NFW,P&A GS,,20070812,20070910,20260417
Ascalon 1A,W001986,Bonaparte,WA-217-P,126.589545,-12.270804,Mobil Exploration & Producing Australia Pty Ltd,NFW,P&A GS,,19950531,19950924,20260417
Stag 6H,W002003,Northern Carnarvon,WA-209-P,116.275285,-20.289963,Apache Energy Limited,EXT,P&A O,Stag,19951003,19951031,20260417
Stag 6,W002003,Northern Carnarvon,WA-209-P,116.275285,-20.289963,Apache Energy Limited,EXT,P&A,Stag,19950926,19951031,20260417
Barrow_M21A,W002004,Northern Carnarvon,L 1H,115.402444,-20.804528,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19951224,19951228,20260417
Barrow_M86A,W002009,Northern Carnarvon,L 1H,115.422023,-20.82644,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19951201,19951206,20260417
Barrow_R67A,W002012,Northern Carnarvon,L 1H,115.363933,-20.790071,West Australian Petroleum Pty Limited,DEV,P&S,Barrow Island,19960112,19960118,20260417
Barrow_Q82A,W002015,Northern Carnarvon,L 1H,115.375115,-20.797678,West Australian Petroleum Pty Limited,DEV,O,Barrow Island,19960119,19960123,20260417
Agincourt 1,W002042,Northern Carnarvon,TL/6,115.514322,-20.668789,Apache Energy Limited,NFW,P&A,Agincourt,19960525,19960618,20260417
Agincourt 1 ST1,W002042,Northern Carnarvon,TL/6,115.514322,-20.668789,Apache Energy Limited,NFW,P&A,Agincourt,19960529,19960618,20260417
GWA 10,W002045,Northern Carnarvon,WA-5-L,115.929831,-19.652248,Woodside Offshore Petroleum Pty Ltd,DEV,G&C,Goodwyn,19960610,19960813,20260417
GWA 10ST1,W002045,Northern Carnarvon,WA-5-L,115.929831,-19.652248,Woodside Offshore Petroleum Pty Ltd,DEV,G&C,Goodwyn,19960816,19961017,20260417
Looma 1,W002050,Canning,EP 353,123.994292,-19.12356,Shell Development (Australia) Pty Ltd,NFW,P&A OGS,,19960704,19960914,20260417
Saladin 12,W002051,Northern Carnarvon,TL/4,115.019047,-21.462949,West Australian Petroleum Pty Limited,DEV,P&A O,Saladin,19960714,19960814,20260417
Agincourt 2,W002056,Northern Carnarvon,TL/6,115.514319,-20.668772,Apache Northwest Pty Ltd,EXT,P&A,Agincourt,19960803,19960818,20260417
Ridley 1,W002070,Northern Carnarvon,EP 342,114.572683,-21.731541,Apache Northwest Pty Ltd,NFW,P&A OS,,19960925,19961001,20260417
GSWA Mooka 1,W002080,Southern Carnarvon,,114.806944,-24.975374,Geological Survey of Western Australia (GSWA),STR,P&A STR,,19961018,19961026,20260417
GSWA Barrabiddy 1,W002081,Southern Carnarvon,,114.333344,-23.832487,Geological Survey of Western Australia (GSWA),STR,P&A STR,,19961029,19961108,20260417
GSWA Barrabiddy 1A,W002081,Southern Carnarvon,,114.333344,-23.832487,Geological Survey of Western Australia (GSWA),STR,P&A STR,,19961108,19961122,20260417
Ruby 1,W002086,Northern Carnarvon,EP 110,114.854254,-21.974703,Pan Pacific Petroleum NL,NFW,P&A,,19961204,19961214,20260417
