Section Name,TypeShot,Length(m),Depth IN(m),Depth OUT(m),Heading IN(dd),Heading OUT(dd),Pitch IN(dd),Pitch OUT(dd),Left(m),Right(m),Up(m),Down(m),Temperature(°C),Time,Marker,Y,X,Elevation
B06,START,,,,,,,,,,,,,,,-33.39535370,115.98718627,-9.27
B06,STD,8.74,9.23,8.63,258.5,262.3,1.0,-3.2,0.0,0.0,0.0,0.0,23.8,26/01/17 - 22:19:21,,-33.39536946,115.98709416,-8.63
B06,STD,15.00,8.75,6.72,251.4,253.2,8.9,9.8,0.0,0.0,0.0,0.0,23.8,26/01/17 - 22:20:18,,-33.39541425,115.98694422,-6.72
B06,EOC,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26/01/17 - 00:00:00,,,,
