Local system number,call number,Title,Date,Description of physical object,notes,Summary,Subject headings: Topical,Caption for URL,URL,URL2
b3665338x,ACC 8661A/125,John Hutchinson's bird songs recorded on 10 and 11 August 1977.,1977,1 audiotape reel (approximately 12 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N39, consists of field recordings of bird calls made at Meda Station in the Kimberleys on 10 and 11 August 1977. This tape reel is accompanied by a field note. ACC 8661A/125 ",Birds;Honeyeaters;Friarbirds;Scissors grinder;Doves;Pied butcherbirds;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 10 and 11 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665338_2,
b36653548,ACC 8661A/126,John Hutchinson's bird songs recorded on 11 August 1977.,1977,1 audiotape reel (approximately 13 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N40, consists of field recordings of bird calls made at Meda Station in the Kimberleys on 11 August 1977. This tape reel is accompanied by a field note. ACC 8661A/126 ",Birds;Honeyeaters;Crows;Bowerbirds;Pied butcherbirds;Birdsongs,John Hutchinson's bird songs recorded on 11 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665354_2,
b36653561,ACC 8661A/127,"John Hutchinson's bird songs recorded on 11, 12, 14 and 15 August 1977.",1977,1 audiotape reel (approximately 23 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N41, consists of field recordings of bird calls made at Meda Station in the Kimberleys on 11 August 1977 and at May River in the Kimberleys on 12 August 1977 and at Yeeda Station on 14 August 1977 and near Lange Crossing, Fitzroy River on 15 August 1977. This tape reel is accompanied by a field note. ACC 8661A/127 ",Birds;Honeyeaters;Peaceful doves;Little corellas;Friarbirds;Cockatoos;Bowerbirds;Pied butcherbirds;Scissors grinder;Birdsongs;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 11 12 14 and 15 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665356_2,
b36653627,ACC 8661A/128,John Hutchinson's bird songs recorded on 18 and 20 August 1977.,1977,1 audiotape reel (approximately 22 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N42, consists of field recordings of bird calls made at La Grange Spring in the Kimberleys on 18 August 1977 and at Yule River , Port Hedland on 20 August 1977.  This tape reel is accompanied by a field note. ACC 8661A/128 ",Birds;Honeyeaters;Vanellus miles;Brolgas;Friarbirds;Reed warblers;Bowerbirds;Water birds;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 18 and 20 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665362_2,
b36653676,ACC 8661A/130,John Hutchinson's bird songs recorded on 24 and 25 August 1977.,1977,1 audiotape reel (approximately 16 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N44, consists of field recordings of bird calls made at Bodathana Station Hot Bore, Carnarvon on 24 August 1977 and at Brickhouse Station, Carnarvon on 25 August 1977.  This tape reel is accompanied by a field note. ACC 8661A/130  ",Birds;Honeyeaters;Crows;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 24 and 25 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665367_2,
b36653688,ACC 8661A/129,"John Hutchinson's bird songs recorded on 20, 22, 23 and 24 August 1977.",1977,1 audiotape reel (approximately 21 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N43, consists of field recordings of bird calls made at Yule River, Port Hedland on 20 August 1977 and at Fortescue River on 22 August 1977 and at Yanrey River on 23 August 1977 and at Bodathana Station Hot Bore, Carnarvon on 24 August 1977.  This tape reel is accompanied by a field note. ACC 8661A/129 ",Birds;Honeyeaters;Thrushes;Galah;Magpie lark;Goshawk;Wedgebill;Willy wagtail;Crows;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 20 22 23 and 24 August 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665368_2,
b36653755,ACC 8661A/131,John Hutchinson's bird songs recorded on 26 and 27 August 1977 and 9 September 1977.,1977,1 audiotape reel (approximately 16 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N45, consists of field recordings of bird calls made at Wooramel Station on 26 August 1977 and at Murchison River on 27 August 1977 and  at Greenbushes on 9 September 1977.  This tape reel is accompanied by a field note. ACC 8661A/131 ",Birds;Galah;Crows;Warblers;Magpies;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 26 and 27 August 1977 and 9 September 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665375_2,
b36653767,ACC 8661A/132,John Hutchinson's bird songs recorded on 9 September 1977.,1977,1 audiotape reel (approximately 22 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N46, consists of field recordings of bird calls made at Greenbushes on 9 September 1977.  This tape reel is accompanied by a field note. ACC 8661A/132 ",Birds;Magpies;Birdsongs,John Hutchinson's bird songs recorded on 9 September 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665376_2,
b36653809,ACC 8661A/133,"John Hutchinson's bird songs recorded on 11, 12, 18 and 20 September 1977.",1977,1 audiotape reel (approximately 35 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N47, consists of field recordings of bird calls made at Greenbushes on 11, 12, 18 and 20 September 1977.  This tape reel is accompanied by a field note. ACC 8661A/133 ",Birds;Magpies;Scissors grinder;Birdsongs,John Hutchinson's bird songs recorded on 11 12 18 and 20 September 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665380_2,
b36653834,ACC 8661A/134,"John Hutchinson's bird songs recorded on 20, 23 and 25 September 1977.",1977,1 audiotape reel (approximately 15 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N48, consists of field recordings of bird calls made at Greenbushes on 20 and 23 September 1977 and at Wright's Bridge on 25 September 1977.  This tape reel is accompanied by a field note. ACC 8661A/134 ",Birds;Magpies;Willy wagtail;Magpie lark;Frogs;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 20 23 and 25 September 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665383_2,
b36653883,ACC 8661A/135,John Hutchinson's bird songs recorded on 25 September 1977.,1977,1 audiotape reel (approximately 28 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N49, consists of field recordings of bird calls made at Wright's Bridge on 25 September 1977.  This tape reel is accompanied by a field note. ACC 8661A/135 ",Frogs;Frogs,John Hutchinson's bird songs recorded on 25 September 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665388_2,
b36653925,ACC 8661A/136,John Hutchinson's bird songs recorded on 14 October 1977.,1977,1 audiotape reel (approximately 14 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N50, consists of field recordings of bird calls made at Greenbushes on 14 October 1977.  This tape reel is accompanied by a field note. ACC 8661A/136 ",Birds;Magpies;Kookaburra;Robins;Birdsongs,John Hutchinson's bird songs recorded on 14 October 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665392_2,
b36653949,ACC 8661A/137,John Hutchinson's bird songs recorded on 14 and 15 October 1977.,1977,1 audiotape reel (approximately 23 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N51, consists of field recordings of bird calls made at Greenbushes on 14 and 15 October 1977.  This tape reel is accompanied by a field note. ACC 8661A/137 ",Birds;Magpies;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 14 and 15 October 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665394_2,
b36653950,ACC 8661A/138,John Hutchinson's bird songs recorded on 15 and 16 October 1977.,1977,1 audiotape reel (approximately 15 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N52, consists of field recordings of bird calls made at Greenbushes on 15 and 16 October 1977.  This tape reel is accompanied by a field note. ACC 8661A/138 ",Birds;Twenty-eight parrots;Ravens;Magpies;Honeyeaters;Scissors grinder;Robins;Kookaburra;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 15 and 16 October 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665395_2,
b36653962,ACC 8661A/139,"John Hutchinson's bird songs recorded on 16, 18, 26 and 29 October 1977.",1977,1 audiotape reel (approximately 16 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N53, consists of field recordings of bird calls made at Greenbushes on 16, 18 and 26 October 1977 and at Manjimup on 29 October 1977.  This tape reel is accompanied by a field note. ACC 8661A/139 ",Birds;Pardalotes;Songlarks;Twenty-eight parrots;Honeyeaters;Scissors grinder;Robins;Wrens;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 16 18 26 and 29 October 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665396_2,
b36654218,ACC 8661A/140,John Hutchinson's bird songs recorded on 29 October 1977 and 1 November 1977.,1977,1 audiotape reel (approximately 25 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N54, consists of field recordings of bird calls made at One Tree Bridge, Manjimup on 29 October 1977 and at Greenbushes on 1 November 1977.  This tape reel is accompanied by a field note. ACC 8661A/140 ",Birds;Whistlers (Birds);Wrens;Honeyeaters;Robins;Magpies;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 29 October 1977 and 1 November 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665421_2,
b36654279,ACC 8661A/141,"John Hutchinson's bird songs recorded on 1, 2, 3 and 4 November 1977.",1977,1 audiotape reel (approximately 19 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N55, consists of field recordings of bird calls made at Greenbushes on 1, 2, 3 and 4 November 1977.  This tape reel is accompanied by a field note. ACC 8661A/141 ",Birds;Songlarks;Cockatoos;Honeyeaters;Scissor grinder;Twenty-eight parrots;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 1 2 3 and 4 November 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665427_2,
b36654358,ACC 8661A/142,"John Hutchinson's bird songs recorded on 11, 12 and 17 November 1977.",1977,1 audiotape reel (approximately 13 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N56, consists of field recordings of bird calls made at Northcliffe on 11 and 12 November 1977 and at Boyanup on 17 November 1977.  This tape reel is accompanied by a field note. ACC 8661A/142 ",Birds;Thornbills;Kookaburra;Warblers;Wrens;Shrike-thrushes;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 11 12 and 17 November 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665435_2,
b36654371,ACC 8661A/143,"John Hutchinson's bird songs recorded on 17, 20 and 21 November 1977.",1977,1 audiotape reel (approximately 10 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N57, consists of field recordings of bird calls made at Boyanup on 17 November 1977 and at Lewana Park, Balingup on 20 and 21 November 1977.  This tape reel is accompanied by a field note. ACC 8661A/143 ",Birds;Magpies;Zosterops lateralis;Cuckoos;Honeyeaters;Frogs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 17 20 and 21 November 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665437_2,
b36654401,ACC 8661A/144,"John Hutchinson's bird songs recorded on 21, 29 and 30 November 1977.",1977,1 audiotape reel (approximately 20 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N58, consists of field recordings of bird calls made at Lewana Park, Balingup on  21, 29 and 30 November 1977. This tape reel is accompanied by a field note. ACC 8661A/144 ",Birds;Magpies;Zosterops lateralis;Robins;Honeyeaters;Twenty-eight parrots;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 21 29 and 30 November 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665440_2,
b36654437,ACC 8661A/145,John Hutchinson's bird songs recorded on 30 November 1977 and 1 December 1977.,1977,1 audiotape reel (approximately 18 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N59, consists of field recordings of bird calls made at Lewana Park, Balingup on  30 November 1977 and 1 December 1977. This tape reel is accompanied by a field note. ACC 8661A/145 ",Birds;Magpies;Honeyeaters;Twenty-eight parrots;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 30 November 1977 and 1 December 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665443_2,
b36654474,ACC 8661A/146,"John Hutchinson's bird songs recorded on 1, 5 and 6 December 1977.",1977,1 audiotape reel (approximately 17 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N60, consists of field recordings of bird calls made at Greenbushes on 3 and 5 December 1977 and at Lewana Park, Balingup on 6 December 1977.  This tape reel is accompanied by a field note. ACC 8661A/146 ",Birds;Songlarks;Ravens;Herons;Cuckoo-shrikes;Willy wagtails;Thornbills;Fantails;Honeyeaters;Twenty-eight parrots;Frogs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 1 5 and 6 December 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3665447_2,
b36709943,ACC 8661A/147,"John Hutchinson's bird songs recorded on 6, 7 and 9 December 1977.",1977,1 audiotape reel (approximately 7 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N61, consists of field recordings of bird calls made at Lewana Park, Balingup on 6, 7 and 9 December 1977.  This tape reel is accompanied by a field note. ACC 8661A/147.",Birds;Whistlers (Birds);Twenty-eight parrots;Zosterops lateralis;Magpies;Kookaburra;Honeyeaters;Frogs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 6 7 and 9 December 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3670994_2,
b36725304,ACC 8661A/148,John Hutchinson's bird songs recorded on 9 and 10 December 1977.,1977,1 audiotape reel (approximately 8 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"Hutchinson is an ornithologist and a birdcall recordist. Tape N62, consists of field recordings of bird calls made at Lewana Park, Balingup on 9 and 10 December 1977. This tape reel is accompanied by a field note. ACC 8661A/148 ",Birds;Trills;Honeyeaters;Thornbills;Frogs;Birdsongs,John Hutchinson's bird songs recorded on 9 and 10 December 1977. Part 1,http://purl.slwa.wa.gov.au/slwa_b3672530_2,
b36798757,ACC 8661A/149,John Hutchinson's bird songs recorded on 10 December 1977 and 4 January 1978.,1977-1978.,1 audiotape reel (approximately 14 min.),Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N63, consists of field recordings of bird calls made at Lewana Park, Balingup on 10 December 1977 and 4 January 1978. This tape reel is accompanied by a field note. ACC 8661A/149.",Birds;Willy wagtails;Honeyeaters;Crickets;Birdsongs,John Hutchinson's bird songs recorded on 10 December 1977 and 4 January 1978. Part 1,http://purl.slwa.wa.gov.au/slwa_b3679875_2,
b36798873,ACC 8661A/150,John Hutchinson's bird songs recorded on 6 May 1978 and 7 and 10 June 1978.,1977,1 audiotape reel (approximately 24 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N64, consists of field recordings of bird calls made at Norseman on 6 May 1978 and Glasshouse Mountains, Queensland on 7 June 1978 and Moggill Forest, Queensland 10 June 1978. This tape reel is accompanied by a field note. ACC 8661A/150 ",Birds;Willy wagtails;Honeyeaters;Currawongs;Whistlers (Bird);Wrens;Robins;Kookaburra;Treecreepers;Birdsongs;Birdsongs;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 6 May 1978 and 7 and 10 June 1978. Part 1,http://purl.slwa.wa.gov.au/slwa_b3679887_2,
b37103246,ACC 8661A/151,John Hutchinson's bird songs recorded on 10 June 1978 and 28 April 1980.,1978-1980.,1 audiotape reel (approximately 24 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N65, consists of field recordings of bird calls made at Moggill Forest, Queensland 10 June 1978 and O'Reilly's waterhole, Queensland on 28 April 1980.  This tape reel is accompanied by a field note. ACC 8661A/151 ",Birds;Whipbirds;Peaceful doves;Silvereyes;Whistlers (Birds);Shrike-thrushes;Magpies;Pachycephala rufiventris;Treecreepers;Crows;Pardalotes;Honeyeaters ;Pigeons;Thrushes;Cuckoo-shrikes;Honeyeaters;Scrubwrens;Thornbills;Pardalotes;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 10 June 1978 and 28 April 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3710324_2,
b37103593,ACC 8661A/153,John Hutchinson's bird songs recorded on 28 and 29 April 1980.,1980,"1 audiotape reel (approximately 23 min,) ",Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N67, consists of field recordings of bird calls made at O'Reilly's waterhole, Queensland on 28 and 29 April 1980. This tape reel is accompanied by a field note. Some birdsongs edited by Peter Slater. ACC 8661A/153 ",Birds;Whipbirds;Honeyeaters;Warblers;Scrubwrens;Silvereyes;Fantails;Wrens;Robins;Birdsongs,John Hutchinson's bird songs recorded on 28 and 29 April 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3710359_2,
b37320531,ACC 8661A/156,John Hutchinson's bird songs recorded on 11 and 12 May 1980.,1980,1 audiotape reel (approximately 27 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N70, consists of field recordings of bird calls made at Moggill Forest, Queensland on 11 and 12 May 1980.  This tape reel is accompanied by a field note. ACC 8661A/156 ",Birds;Bellbirds;Whipbirds;Ravens;Kookaburra;Cuckoos;Butcherbirds;Helicopters;Birdsongs,John Hutchinson's bird songs recorded on 11 and 12 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3732053_2,
b37320610,ACC 8661A/157,"John Hutchinson's bird songs recorded on 12, 13 and 18 May 1980.",1980,1 audiotape reel (approximately 28 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N71, consists of field recordings of bird calls made at Moggill Forest, Queensland on 12 and 13 May 1980 and at Green Mountains, Queensland on 18 May 1980.  This tape reel is accompanied by a field note. ACC 8661A/157 ",Birds;Thrushes;Whipbirds;Kookaburra;Cuckoos;Honeyeaters;Crows;Thornbills;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 12 13 and 18 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3732061_2,
b37321018,ACC 8661A/158,John Hutchinson's bird songs recorded on 14 May 1980.,1980,1 audiotape reel (approximately 18 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N72, consists of field recordings of bird calls made at Moggill Forest, Queensland on 14 May 1980.  This tape reel is accompanied by a field note. ACC 8661A/158 ",Birds;Robins;Honeyeaters;Kookaburra;Whipbirds;Honeyeaters;Whistlers (Birds) ;Bee eaters;Warblers;Birdsongs,John Hutchinson's bird songs recorded on 14 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3732101_2,
b37327835,ACC 8661A/159,John Hutchinson's bird songs recorded on 18 and 19 May 1980.,1980,1 audiotape reel (approximately 27 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N73, consists of field recordings of bird calls made at Green Mountains, Queensland on 18 and 19  May 1980.  This tape reel is accompanied by a field note. ACC 8661A/159.",Birds;Chowchillas;Whipbirds;Birdsongs,John Hutchinson's bird songs recorded on 18 and 19 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3732783_2,
b37328293,ACC 8661A/160,"John Hutchinson's bird songs recorded on 19, 20 and 21 May 1980.",1980,1 audiotape reel (approximately 19 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N74, consists of field recordings of bird calls made at Green Mountains, Queensland 19, 20 and 21  May 1980.  This tape reel is accompanied by a field note. ACC 8661A/160 ",Birds;Robins;Whipbirds;Honeyeaters;Birdsongs,John Hutchinson's bird songs recorded on 19 20 and 21 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3732829_2,
b37330214,ACC 8661A/161,John Hutchinson's bird songs recorded on 22 and 23 May 1980.,1980,1 audiotape reel (approximately 28 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. Also test of condenser microphone C451E.  ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N75, consists of field recordings of bird calls made at Green Mountains, Queensland on 22 and 23  May 1980.  This tape reel is accompanied by a field note. ACC 8661A/161 ",Birds;Chowchillas;Whipbirds;Honeyeaters;Catbird;Ravens;Bellbirds;Parrots;Birdsongs,John Hutchinson's bird songs recorded on 22 and 23 May 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3733021_2,
b37332235,ACC 8661A/162,John Hutchinson's bird songs recorded on 31 May 1980 and 1 June 1980.,1980,1 audiotape reel (approximately 20 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. Also test of condenser microphone C451E.  ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N76, consists of field recordings of bird calls made at Moggill Forest, Queensland  on 31  May 1980 and 1 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/162 ",Birds;Whipbirds;Honeyeaters;Crows;Treecreepers;Bellbirds;Parrots;Birdsongs,John Hutchinson's bird songs recorded on 31 May 1980 and 1 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3733223_2,
b3733251x,ACC 8661A/163,John Hutchinson's bird songs recorded on 1 and 2 June 1980.,1980,1 audiotape reel (approximately 15 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N77, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  1 and 2 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/163 ",Birds;Whipbirds;Honeyeaters;Crows;Treecreepers;Wrens;Friarbirds;Birdsongs,John Hutchinson's bird songs recorded on 1 and 2 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3733251_2,
b37332569,ACC 8661A/164,John Hutchinson's bird songs recorded on 2 and 3 June 1980.,1980,1 audiotape reel (approximately 18 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N78, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  2 and 3 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/164 ",Birds;Whipbirds;Honeyeaters;Bellbirds;Birdsongs,John Hutchinson's bird songs recorded on 2 and 3 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3733256_2,
b37358807,ACC 8661A/165,John Hutchinson's bird songs recorded on 3 June 1980.,1980,1 audiotape reel (approximately 15 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N79, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  3 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/165 ",Birds;Whipbirds;Bellbirds;Birdsongs,John Hutchinson's bird songs recorded on 3 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3735880_2,
b37360553,ACC 8661A/166,John Hutchinson's bird songs recorded on 4 June 1980.,1980,1 audiotape reel (approximately 12 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N80, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  4 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/166  ",Birds;Whipbirds;Bellbirds;Birdsongs,John Hutchinson's bird songs recorded on 4 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3736055_2,
b37361028,ACC 8661A/167,John Hutchinson's bird songs recorded on 8 June 1980.,1980,1 audiotape reel (approximately 22 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N81, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  8 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/167 ",Birds;Treecreepers;Kookaburra;Honeyeaters;Whipbirds;Whistlers (Birds);Birdsongs,John Hutchinson's bird songs recorded on 8 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3736102_2,
b37361107,ACC 8661A/168,John Hutchinson's bird songs recorded on 8 June 1980.,1980,1 audiotape reel (approximately 25 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N82, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  6 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/168 ",Birds;Crows;Kookaburra;Honeyeaters;Currawongs;Birdsongs,John Hutchinson's bird songs recorded on 9 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3736110_2,
b37361132,ACC 8661A/169,"John Hutchinson's bird songs recorded on 9, 10 and 11 June 1980.",1980,1 audiotape reel (approximately 30 min.) ,Recorded using Nagra IV-S portable stereo 6.35-mm (?? inch) analogue audio tape recorder. ,"John Hutchinson is an ornithologist and a birdcall recordist. Tape N83, consists of field recordings of bird calls made at Moggill Forest, Queensland  on  9, 10 and 11 June 1980.  This tape reel is accompanied by a field note. ACC 8661A/169 ",Birds;Honeyeaters;Fantails;Thornbills;Birdsongs,John Hutchinson's bird songs recorded on 9 10 and 11 June 1980. Part 1,http://purl.slwa.wa.gov.au/slwa_b3736113_2,
