Local system number,call number,Title,Date,Description of physical object,notes,Summary,Subject headings: Topical,Caption for URL,URL,URL2
b36523343,ACC 8661A/62,John Hutchinson's bird songs recorded on 2 and 3 March 1966.,1966,1 audiotape reel (approximately 15 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/14, consists of field recordings of bird calls made at Lange Crossing, Derby on 2 and 3 March 1966. This tape reel is accompanied by a field note. ACC 8661A/62 ",Birds;Pomatostomus temporalis;Pachycephala rufiventris;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 2 and 3 March 1966. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3652334_2,
b36523355,ACC 8661A/63,John Hutchinson's bird songs recorded on 3 and 5 March 1966.,1966,1 audiotape reel (approximately 85 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/15, consists of field recordings of bird calls made at Lange Crossing, Derby on 3 and 5 March 1966. This tape reel is accompanied by a field note. ACC 8661A/63 ",Birds;Magpie lark;Honeyeaters;Bushlarks;Cuckoos;Pomatostomus temporalis;Pachycephala rufiventris;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 3 and 5 March 1966. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3652335_2,
b36528171,ACC 8661A/64,John Hutchinson's bird songs recorded on 4 March 1966.,1966,1 audiotape reel (approximately 15 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/16, consists of field recordings of bird calls made upstream from Lange Crossing, Derby on 4 March 1966. This tape reel is accompanied by a field note. ACC 8661A/64 ",Birds;Bushlarks;Pomatostomus temporalis;Birdsongs,John Hutchinson's bird songs recorded on 4 March 1966. Part 1;View the finding aid for this collection,http://purl.slwa.wa.gov.au/slwa_b3652817_2,
b36530268,ACC 8661A/66,"John Hutchinson's bird songs recorded on 1, 6, 7, 9 and 19 April 1966.",1966,1 audiotape reel (approximately 85 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/18, consists of field recordings of bird calls made at Kununurra on 1, 6, 7, 9 and 19 April 1966. This tape reel is accompanied by a field note. ACC 8661A/66 ",Birds;Mistletoe birds;Honeyeaters;Bushlarks;Crows;Scissors grinder;Pachycephala rufiventris;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 1, 6, 7, 9 and 19 April 1966. Part 1",http://purl.slwa.wa.gov.au/slwa_b3653026_2,
b3653027x,ACC 8661A/67,"John Hutchinson's bird songs recorded on 19, 20 and 21 April 1966 and 7 and 8 May 1966.",1966,1 audiotape reel (approximately 14 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/19, consists of field recordings of bird calls made at Kununurra on 19 April 1966 and at Hart's Crossing, Ord River on 20 April 1966 and at Wild Dog Swamp near Kununurra 30 miles on 21 April 1966 and at Durham River, Kununurra on 7 and 8 May 1966. This tape reel is accompanied by a field note. ACC 8661A/67 ",Birds;Mudlarks;Bee eaters;Honeyeaters;Doves;Cuckoos;Cockatoos;Mistletoe birds;Crows;Scissors grinder;Reed warblers;Little corellas;Galah;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 19, 20 and 21 April 1966 and 7 and 8 May 1966. Part 1",http://purl.slwa.wa.gov.au/slwa_b3653027_2,
b36530335,ACC 8661A/68,"John Hutchinson's bird songs recorded on 8, 9 and 15 May 1966.",1966,1 audiotape reel (approximately 14 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/20, consists of field recordings of bird calls made at Durham River, Kununurra on 8 and 9 May 1966 and at Sandy Creek Kununurra on 15 May 1966. This tape reel is accompanied by a field note. ACC 8661A/68 ",Birds;Willy wagtails;Magpie lark;Pied butcherbirds;Fantails;Doves;Honeyeaters;Mistletoe birds;Friarbirds;Scissors grinder;Bowerbirds;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 8, 9 and 15 May 1966. Part 1",http://purl.slwa.wa.gov.au/slwa_b3653033_2,
b36530347,ACC 8661A/69,"John Hutchinson's bird songs recorded on 25, 29 and 30 May 1966.",1966,1 audiotape reel (approximately 14 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/21, consists of field recordings of bird calls made at Durham River, Kununurra on 25, 29 and 30 May 1966. This tape reel is accompanied by a field note. ACC 8661A/69 ",Birds;Fantails;Doves;Honeyeaters;Birdsongs,"John Hutchinson's bird songs recorded on 25, 29 and 30 May 1966. Part 1",http://purl.slwa.wa.gov.au/slwa_b3653034_2,
b36532915,ACC 8661A/70,John Hutchinson's bird songs recorded on 30 May 1966 and 1 and 23 June 1966.,1966,1 audiotape reel (approximately14 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/22, consists of field recordings of bird calls made at Durham River, Kununurra on 30 May 1966 and 1 June 1966 and at Gascoyne Research Station, Carnarvon on 23 June 1966. This tape reel is accompanied by a field note. ACC 8661A/70 ",Birds;Fantails;Magpie lark;Honeyeaters;Kookaburra;Owls;Birdsongs;Birdsongs,John Hutchinson's bird songs recorded on 30 May 1966 and 1 and 23 June 1966. Part 1,http://purl.slwa.wa.gov.au/slwa_b3653291_2,
b36532940,ACC 8661A/71,"John Hutchinson's bird songs recorded on 9 December 1966, 24 February 1967 and 4 and 5 March 1967.",1967,1 audiotape reel (approximately12 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/23, consists of field recordings of bird calls made at Kununurra on 9 December 1966 and at Gascoyne Research Station, Carnarvon on 24 February 1967 and 4 and 5 March 1967. This tape reel is accompanied by a field note. ACC 8661A/71 ",Birds;Koels;Pied butcherbirds;Yellow-throated miners;Kookaburra;Mistletoe birds;Whistlers (Birds);Wedgebills;Honeyeaters;Wrens;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 9 December 1966, 24 February 1967 and 4 and 5 March 1967. Part 1",http://purl.slwa.wa.gov.au/slwa_b3653294_2,
b36545715,ACC 8661A/72,"John Hutchinson's bird songs recorded on 30 June 1966 and 9,10,11 and 13 July 1966 and 9 April 1966.",1966,1 audiotape reel (approximately 15 min.) ,Recorded using Fi-Cord 202 portable reel tape recorder.,"John Hutchinson is an ornithologist and a birdcall recordist. Tape 4""/24, consists of field recordings of bird calls made at Gascoyne Research Station, Carnarvon on  30 June 1966 and 9, 10,11 and 13 July 1966 and at Mrs Duprets House, Carnarvon on 9 April 1966. This tape reel is accompanied by a field note. ACC 8661A/72 ",Birds;Bee eaters;Hawks;Cockatiels;Honeyeaters;Birdsongs;Birdsongs,"John Hutchinson's bird songs recorded on 30 June 1966 and 9,10,11 and 13 July 1966 and 9 April 1966. Part 1",http://purl.slwa.wa.gov.au/slwa_b3654571_2,
