X,Y,OBJECTID,TREE_ID,DATE_PLANTED,SUBURB,BOTANICAL_NAME,COMMON_NAME,FAMILY,TREE_HEIGHT,RARE_SPECIES,HISTORIC_SIGNIFICANCE,COMMUNITY_SIGNIFICANCE,SIGNIFICANT_GROUP,RETIRED
12896581.889,-3756628.5334,12365,19169,2019/05/10 03:22:48+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896595.3245,-3756634.6846,12366,19170,2019/05/10 03:24:19+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896606.5024,-3756638.2572,12367,19171,2019/05/10 03:24:19+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896630.2994,-3756647.4538,12368,19172,2019/05/10 03:21:14+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896708.7872,-3756612.551,12369,19173,2019/05/10 03:23:10+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12896706.2781,-3756618.4052,12370,19174,2019/05/10 03:22:22+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12896701.4436,-3756625.5835,12371,19175,2019/05/10 03:19:45+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12896697.942,-3756633.4622,12372,19176,2019/05/10 03:22:22+00,PERTH,Corymbia maculata,Spotted Gum,Myrtaceae,,No,No,No,No,
12896699.0423,-3756647.0105,12373,19177,2019/05/10 03:24:06+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896706.0653,-3756651.9917,12374,19178,2019/05/10 03:21:45+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896713.7896,-3756656.3378,12375,19179,2019/05/10 03:24:06+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896721.5966,-3756660.5566,12376,19180,2019/05/10 03:23:43+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896729.7827,-3756664.5715,12377,19181,2019/05/10 03:22:22+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896697.5278,-3756670.2685,12378,19182,2019/05/10 03:21:58+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896721.0212,-3756682.1312,12379,19183,2019/05/10 03:23:43+00,PERTH,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896739.8537,-3756689.5353,12380,19184,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896783.2305,-3756706.6808,12382,19186,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896798.8952,-3756712.5229,12383,19187,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896814.7268,-3756718.5764,12384,19188,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896829.5443,-3756724.3663,12385,19189,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896903.5139,-3756743.3514,12388,19192,2016/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896872.7972,-3756770.8198,12389,19193,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896955.2011,-3756803.2771,12390,19194,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896911.6413,-3756785.9171,12391,19195,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896923.2573,-3756790.4778,12392,19196,2019/05/10 03:21:58+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896885.6518,-3756775.8078,12393,19197,2015/07/01 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896994.7395,-3756778.2331,12394,19198,2016/02/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896857.6014,-3756764.9786,12395,19199,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896807.3512,-3756745.7013,12396,19200,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896791.1576,-3756739.6127,12397,19201,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896772.8488,-3756732.4366,12398,19202,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12896756.7437,-3756726.2543,12399,19203,2015/07/02 00:00:00+00,Perth,Platanus x acerifolia,London Plane,Platanaceae,,No,No,No,No,
12897794.4484,-3758102.2547,12401,19218,2019/05/10 03:19:45+00,PERTH,Phoenix canariensis,Canary Island Date Palm,Arecaceae,,No,No,No,No,
12897557.4833,-3758005.4691,12402,19219,2019/05/10 03:24:19+00,PERTH,Phoenix canariensis,Canary Island Date Palm,Arecaceae,,No,No,No,No,
